English,Russian
Oktiabrskaia,Октябрьская
Borovitckaia,Боровицкая
Mendeleevskaia,Менделеевская
Pervomaiskaia,Первомайская
Komsomolskaia,Комсомольская
Kashirskaia,Каширская
Altufevo,Алтуфьево
Barrikadnaia,Баррикадная
Volokolamskaia,Волоколамская
Serpukhovskaia,Серпуховская
Rasskazovka,Рассказовка
Ploshchad Ilicha,Площадь Ильича
Vystavochnaia,Выставочная
Petrovskii park,Петровский парк
Medvedkovo,Медведково
Spartak,Спартак
Ozernaia,Озерная
Troparevo,Тропарево
Khoroshevskaia,Хорошевская
Narodnoe Opolchenie,Народное ополчение
Krylatskoe,Крылатское
Konkovo,Коньково
Sokol,Сокол
Kuznetckii most,Кузнецкий мост
Oktiabrskoe pole,Октябрьское поле
Novogireevo,Новогиреево
Zhulebino,Жулебино
Botanicheskii sad,Ботанический сад
Novoslobodskaia,Новослободская
Polezhaevskaia,Полежаевская
Iugo-Zapadnaia,Юго-Западная
Volzhskaia,Волжская
Aeroport,Аэропорт
Chistye prudy,Чистые пруды
Ziablikovo,Зябликово
Avtozavodskaia,Автозаводская
Iugo-Vostochnaia,Юго-Восточная
Tcaritcyno,Царицыно
Kommunarka,Коммунарка
Paveletckaia,Павелецкая
Ploshchad Revoliutcii,Площадь Революции
Vorobevy gory,Воробьевы горы
Marino,Марьино
Borovskoe shosse,Боровское шоссе
Salarevo,Саларьево
Krasnogvardeiskaia,Красногвардейская
Novoiasenevskaia,Новоясеневская
Filevskii park,Филевский парк
Novokosino,Новокосино
Kantemirovskaia,Кантемировская
Dmitrovskaia,Дмитровская
Frunzenskaia,Фрунзенская
Dostoevskaia,Достоевская
Perovo,Перово
Lefortovo,Лефортово
Kosino,Косино
Solntcevo,Солнцево
Delovoi tcentr,Деловой центр
Belorusskaia,Белорусская
Iuzhnaia,Южная
Profsoiuznaia,Профсоюзная
Shipilovskaia,Шипиловская
Ramenki,Раменки
Rumiantcevo,Румянцево
Kutuzovskaia,Кутузовская
Taganskaia,Таганская
Novokuznetckaia,Новокузнецкая
Sokolniki,Сокольники
Olkhovaia,Ольховая
Aviamotornaia,Авиамоторная
Kievskaia,Киевская
Kolomenskaia,Коломенская
Verkhnie Likhobory,Верхние Лихоборы
Chekhovskaia,Чеховская
Okhotnyi riad,Охотный ряд
Savelovskaia,Савеловская
Arbatskaia,Арбатская
Okskaia,Окская
Belomorskaia,Беломорская
Krestianskaia zastava,Крестьянская застава
Shchukinskaia,Щукинская
Voikovskaia,Войковская
Filatov Lug,Филатов луг
Novye Cheremushki,Новые Черемушки
Orekhovo,Орехово
